a1.Antichymotrypsin
Glutamate.carboxypeptidase
Glypican.3
GM.CSF
GNS
GOT1
GP114
gp130..soluble
GP1BA
GPC2
GPC5
gpIIbIIIa
GPVI
Granulysin
granzyme.A
Granzyme.B
Granzyme.H
GRB2.related.adapter.protein.2
GREM1
GRN
Gro.a
Gro.b
Gro.g
Growth.hormone.receptor
GSK.3.alpha
GSK.3.beta
GSTA3
GV
GX
H6ST1
HAI.1
Haptoglobin..Mixed.Type
Hat1
HB.EGF
HCC.1
HCC.4
HCG
HCK
HDAC8
HDGR2
Hemoglobin
Hemopexin
Heparin.cofactor.II
HGF
HGFA
HINT1
HIPK3
Histone.H1.2
Histone.H2A.z
HIV.2.Rev
HMG.1
hnRNP.A.B
hnRNP.K
HNRPQ
HO.2
HPG.
HPLN1
HPV.E7.Type.16
HPV.E7.Type18
HRG
HSP.40
HSP.60
HSP.70
HSP.90a
HSP.90b
HSP70.protein.8
HTRA2
I.309
I.TAC
iC3b
ICOS
IDE
IDS
IDUA
IF4A3
IF4G2
IFN.aA
IFN.g
IFN.g.R1
IFN.lambda.1
IFN.lambda.2
IgD
IgE
IGF.I
IGF.I.sR
IGF.II.receptor
IGFBP.1
IGFBP.2
IGFBP.3
IGFBP.4
IGFBP.5
IGFBP.6
IGFBP.7
IgG
IgG.1
IgM
IL.1.R.AcP
IL.1.R4
IL.1.sRI
IL.10
IL.10.Rb
IL.11
IL.11.RA
IL.12
IL.12.Rb1
IL.12.RB2
IL.13
IL.13.Ra1
IL.15.Ra
IL.16
IL.17
IL.17.RC
IL.17.RD
IL.17.sR
IL.17B
IL.17D
IL.17E
IL.17F
IL.18.BPa
IL.18.Ra
IL.18.Rb
IL.19
IL.1a
IL.1b
IL.1F7
IL.1Rrp2
IL.2
IL.2.sRa
IL.2.sRg
IL.20
IL.22
IL.23
IL.27
IL.3
IL.3.Ra
IL.34
IL.4
IL.4.sR
IL.5
IL.5.Ra
IL.6
IL.6.sRa
IL.7
IL.7.Ra
IL.8
IL22RA1
IL24
IMB1
ING1
Integrin.a1b1
Integrin.aVb5
IP.10
IR
ITI.heavy.chain.H4
JAK2
JAM.B
JAM.C
Kallikrein.11
kallikrein.12
kallikrein.14
Kallikrein.4
kallikrein.5
Kallikrein.6
Kallikrein.7
kallikrein.8
Kallistatin
Karyopherin.a2
Kininogen..HMW..Single.Chain
Kininogen..HMW..Single.Chain.1
Kininogen..HMW..Two.Chain
KIRR3
KPCI
KPCT
KREM2
Ku70
KYNU
Lactoferrin
LAG.1
Lamin.B1
Laminin
Layilin
LBP
LCK
LCK.1
LCMT1
LD78.beta
LDH.H.1
LEAP.1
Leptin
LG3BP
LGMN
LIF.sR
LIN7B
Lipocalin.2
Livin.B
LKHA4
LRIG3
LRP8
LRRT1
LRRT3
LSAMP
Luteinizing.hormone
LY86
LY9
Lymphotactin
Lymphotoxin.a1.b2
Lymphotoxin.a2.b1
Lymphotoxin.b.R
LYN
LYNB
Lysozyme
LYVE1
M.CSF.R
M2.PK
Macrophage.mannose.receptor
Macrophage.scavenger.receptor
MAPK14
MAPK2
MAPKAPK3
Marapsin
MASP3
MATK
MATN2
MATN3
MBD4
MBL
MCP.1
MCP.2
MCP.3
MCP.4
MDC
MDHC
MDM2
MED.1
MEK1
MEPE
Mesothelin
Mesothelin.1
Met
METAP1
MFGM
MFRP
MIA
MICA
Midkine
MIP.1a
MIP.1b
MIP.3a
MIP.3b
MIP.5
MIS
MK01
MK08
MK11
MK12
MK13
MMEL2
MMP.1
MMP.10
MMP.12
MMP.13
MMP.14
MMP.2
MMP.3
MMP.7
MMP.8
MMP.9
Mn.SOD
Moesin
MOZ
MP2K2
MP2K4
MPIF.1
MRC2
MRCKB
MSP
MSP.R
Myeloperoxidase
Myoglobin
Myokinase..human
NACA
NADPH.P450.Oxidoreductase
NAGK
NANOG
NAP.2
NAP.2.1
NCAM.120
NCAM.L1
NCC27
NCK1
NDP.kinase.B
Nectin.like.protein.1
Nectin.like.protein.2
NET4
NEUREGULIN.1
Neurotrophin.3
Neurotrophin.5
NG36
NID2
Nidogen
NKG2D
NKp30
NKp44
Noggin
NovH
NPS.PLA2
NRP1
NSF1C
Nucleoside.diphosphate.kinase.A
NUDC3
NXPH1
OBCAM
OCAD1
Olfactomedin.4
OLR1
ON
OSM
Osteoblast.specif.transcr.fact.2
OX40.Ligand
P.Cadherin
P.Selectin
p27Kip1
PA2G4
PACAP.27
PACAP.38
PAFAH
PAFAH.beta.subunit
PAI.1
PAK3
PAK6
PAK7
PAPP.A
paraoxonase.1
PARC
PBEF
PCI
PCNA
PCSK7
PD.L2
PDGF.AA
PDGF.BB
PDGF.CC
PDGF.Rb
PDPK1
PECAM.1
PERL
Peroxiredoxin.1
Peroxiredoxin.5
Peroxiredoxin.6
Persephin
PESC
PF.4
PFD5
PGCB
PGRP.S
PH
PHI
phosphoglycerate.kinase.1
Phosphoglycerate.mutase.1
PIGR
PIK3CA.PIK3R1
PK3CG
PKB
PKB.gamma
PKC.A
PKC.B.II
PKC.D
PKC.G
PKC.Z
Plasmin
Plasminogen
PLCG1
PlGF
PLK.1
PLPP
PLXC1
PPAC
PPase
PPIB
Prekallikrein
PRKACA
PRL
Properdin
prostatic.binding.protein
Protease.nexin.I
Protein.C
Protein.disulfide.isomerase.A3
Protein.S
Proteinase.3
PSA
PSA.1
PSA.ACT
PSA1
PSA2
PSA6
PSD7
PSMA
PSME1
pTEN
PTH
PTHrP
PTK6
PTN
PTP.1B
PTP.1C
PUR8
PYY
Rab.GDP.dissociation.inhibitor.beta
RAC1
RAD51
RAN
RANTES
RAP
RASA1
Rb
RBM39
RBP
RELT
Renin
resistin
RET
RGM.C
RGMA
RGMB
ROR1
RPS6KA3
RS3
RS3A
RS7
RSK.like.protein.kinase
RSPO2
SAA
SAP
SARP.2
SBDS
sCD163
sCD4
SCF.sR
SCGF.alpha
SCGF.beta
SDF.1a
SDF.1b
sE.Selectin
SE6L2
Secretin
Semaphorin.3A
SEPR
sFRP.3
SGTA
SH21A
SHP.2
Sialoadhesin
sICAM.1
sICAM.2
sICAM.3
Siglec.3
Siglec.6
Siglec.7
Siglec.9
SIRT2
SKP1
sL.Selectin
SLAF5
SLIK1
SLIK5
SLPI
SMAC
SNAA
SOD
Soggy.1
Somatostatin.28
Sonic.Hedgehog
SORC2
Sorting.nexin.4
SP.D
SPARCL1
Sphingosine.kinase.1
SPHK2
SPINT2
Spondin.1
SPTA2
sRAGE
sRANKL
SRCN1
SSRP1
ST4S6
STAB2
Stanniocalcin.1
sTie.1
sTie.2
STK16
Stress.induced.phosphoprotein.1
STX1a
suPAR
Survivin
TACI
TAFI
TARC
tau
TBK1
TBP
TCPTP
TCTP
TEC
TECK
Tenascin
Testican.1
Testican.2
TF
TFF3
TFPI
TGF.b.R.III
TGF.b1
TGF.b2
TGF.b3
TGM3
Thrombin
Thrombopoietin.Receptor
Thrombospondin.1
Thymidine.kinase
Thyroglobulin
Thyroxine.Binding.Globulin
TIG2
TIMP.1
TIMP.2
TIMP.3
TLR2
TLR4
TMA
TNF.a
TNF.b
TNF.sR.I
TNF.sR.II
TNFSF15
TNFSF18
TNR4
Topoisomerase.I
tPA
TPSB2
TPSG1
TRAIL.R1
TRAIL.R4
transcription.factor.MLR1..isoform.CRA_b
Transferrin
Transketolase
TrATPase
Triosephosphate.isomerase
TrkA
TrkB
TrkC
Tropomyosin.1.alpha.chain
Tropomyosin.2
TRY3
Trypsin
Trypsin.2
TS
TSG.6
TSH
TSLP
TSLP.R
TSP2
TSP4
TWEAK
TXD12
UB2L3
UBC9
UBE2N
Ubiquitin
Ubiquitin.1
UFC1
UFM1
ULBP.1
ULBP.2
ULBP.3
uPA
URB
Vasoactive.Intestinal.Peptide
VCAM.1
VEGF
VEGF.C
VEGF.sR2
VEGF.sR3
VEGF121
vWF
WFKN2
WIF.1
WISP.1
WNT7A
X14.3.3.eta
X14.3.3.protein.gamma
X17.beta.HSD.1
X3HIDH
X4.1BB
X4.1BB.ligand
X41
X4EBP2
X6.Phosphogluconate.dehydrogenase
X6Ckine
XEDAR
XPNPEP1
XTP3A
YES
YKL.40
ZAP70
ZAP70.1
ZAP70.2
